token_id,token,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,a,-0.011334,0.000995,0.008166,-0.002417,0.002703,-0.018785,0.013413,-0.005352,-0.011351,0.012762,0.018114,-0.004214,-0.021005,0.002047,-0.002611,0.018943
1,accuracy,-0.003836,0.003159,-0.002406,0.009636,0.012674,0.004564,-0.000239,-0.002297,-0.007541,0.003551,-0.008071,-0.008369,0.001166,-0.009420,0.014963,0.004287
2,an,-0.017122,0.010269,-0.002891,-0.010427,0.011033,0.019957,0.005316,0.010270,-0.004416,-0.005626,0.010455,-0.020929,0.023232,0.022573,-0.007247,-0.001167
3,analysis,-0.003364,0.001978,0.017860,0.015401,0.005633,-0.011561,-0.011697,-0.000523,-0.006834,0.001840,-0.003207,0.015807,-0.002444,0.008067,-0.005750,-0.015361
4,analytics,0.006240,0.006701,0.025763,0.009752,-0.007776,-0.016118,-0.016346,-0.012209,-0.026469,-0.009410,-0.015237,0.011386,-0.002974,-0.001693,-0.012950,0.010205
5,and,-0.013489,0.010912,-0.000893,-0.003131,0.000166,-0.001254,0.008852,-0.003335,-0.004981,-0.016772,0.001069,-0.016225,-0.004831,0.002353,-0.014011,0.004087
6,answers,-0.010115,0.012908,-0.002662,-0.008791,-0.023047,0.005793,0.008284,0.004280,0.005747,0.001299,0.025996,0.005367,0.001223,0.012624,-0.006023,0.001067
7,apply,-0.005023,-0.003926,-0.001028,0.002131,0.004749,0.007586,-0.011959,0.010532,-0.003026,0.007498,-0.000658,0.006465,-0.006538,0.015451,-0.002353,0.000006
8,approximates,-0.004053,-0.005580,-0.011246,0.022503,0.008452,0.011952,-0.000708,-0.017012,-0.000860,-0.000917,0.005035,-0.010022,0.014654,-0.005743,0.006413,0.001401
9,assumptions,-0.006813,0.001851,-0.006046,-0.010414,0.008938,0.015965,-0.008032,-0.003481,-0.001179,0.005217,0.021210,0.003277,0.003482,-0.003578,-0.006127,0.010224
10,automation,-0.000270,-0.003307,0.005406,0.018900,0.009630,-0.005780,-0.002490,0.014142,-0.002075,0.007670,-0.003432,-0.011402,0.007564,0.006046,-0.021803,0.015290
11,be,-0.012289,-0.008533,0.006516,-0.020658,0.000924,-0.005255,-0.003994,0.000437,0.003238,-0.005494,0.014879,0.013283,0.004133,-0.006805,0.003738,-0.000223
12,behavior,0.000076,-0.006695,0.007377,-0.021309,-0.000147,0.002417,-0.012355,0.008976,0.006213,0.011025,-0.006084,0.003823,0.005078,-0.000045,0.000442,-0.009414
13,builds,-0.013029,0.010687,0.003038,-0.003986,0.020553,0.012441,0.007968,0.000428,0.001265,0.010076,0.000361,0.000543,-0.000940,-0.010850,0.001662,0.013420
14,calculation,0.010839,0.016502,-0.005540,0.002604,-0.000231,-0.004297,0.005637,0.003443,0.010150,-0.012118,-0.008608,0.002604,0.011955,0.007740,0.022818,-0.006042
15,can,0.002004,-0.009287,-0.017121,0.011188,-0.010031,0.006047,-0.005595,0.002888,0.008599,0.012609,-0.003516,-0.000920,-0.001920,0.005259,-0.004350,0.005165
16,carefully,0.016702,-0.000388,-0.026163,0.006733,0.001061,-0.014088,-0.016819,0.006064,0.001991,0.000541,-0.014713,0.016535,0.005488,0.014373,-0.009038,-0.018189
17,categorical,-0.003682,0.009470,-0.006903,-0.016962,-0.010576,0.006061,0.010511,0.005030,-0.006502,0.000222,0.008258,0.009241,-0.005415,-0.011842,-0.005436,-0.004909
18,code,0.001928,-0.018022,-0.031450,-0.015573,-0.013392,-0.025016,-0.011658,0.000374,0.003181,0.005496,-0.003873,0.006886,0.003040,-0.009131,-0.003377,0.006933
19,collected,-0.006044,0.004024,0.007457,-0.013307,0.001585,-0.021153,0.002260,0.015508,0.021453,-0.006701,-0.005102,0.002661,-0.010913,0.002942,0.018657,-0.007436
20,collection,-0.010541,0.004645,-0.018678,0.007861,-0.011989,-0.001915,-0.014473,-0.007795,-0.015152,-0.004297,0.009162,-0.008494,-0.014282,0.015505,0.009559,-0.023520
21,columns,0.002193,0.002204,-0.011344,-0.010944,-0.015164,0.021243,0.007838,0.016068,0.013119,-0.002998,0.007588,0.007886,0.010276,-0.013996,-0.008430,0.017043
22,confusion,-0.008756,0.009331,0.023950,-0.005125,0.025631,-0.006568,-0.009541,0.001021,-0.005823,0.006516,0.000592,0.011026,-0.001132,0.021109,0.003302,0.006280
23,context,0.009065,-0.005467,0.005122,-0.001375,-0.002512,0.007833,0.013692,0.002524,-0.008864,0.016446,0.000967,-0.006311,0.008279,0.004550,-0.008130,-0.000467
24,correctness,0.003893,-0.006160,-0.015582,0.013142,0.004666,0.004412,0.002945,0.007399,0.000414,-0.000697,-0.015039,0.004218,0.013455,0.008574,0.006508,-0.023953
25,data,-0.009414,-0.012679,0.000055,0.006413,-0.017440,-0.023128,0.006392,0.015353,-0.018415,0.002447,0.005461,0.008000,-0.025117,0.007122,0.001648,0.002362
26,dataset,0.004377,-0.011339,0.003436,-0.006913,0.028935,0.000956,0.002045,-0.020078,0.000511,-0.000026,-0.010539,0.000384,0.000250,0.006024,-0.012275,-0.019647
27,decision,-0.007317,-0.001796,0.006746,0.001352,-0.010223,-0.007730,-0.011498,-0.010429,-0.008114,0.015492,0.016565,0.002322,-0.002313,0.007506,0.012066,0.008853
28,decisions,-0.007814,0.001981,-0.003898,0.003976,0.003030,-0.016673,-0.003011,-0.002435,-0.010537,-0.002465,-0.016966,-0.008292,-0.006571,-0.012440,-0.003944,-0.000071
29,depends,-0.009706,0.001114,0.020585,-0.002197,-0.004982,-0.003549,-0.001502,-0.006837,-0.001143,0.002513,0.023649,-0.001464,0.002002,0.002824,0.015350,0.021051
30,documentation,0.004726,-0.002712,-0.002566,0.001187,-0.001279,0.002264,0.002836,-0.001034,0.003442,-0.016681,0.006823,-0.007142,0.009680,-0.008050,0.006786,0.014259
31,efficiency,-0.002197,-0.009385,0.007482,0.009766,0.009064,-0.002407,0.009892,-0.002455,0.001521,-0.001443,-0.008299,-0.017599,-0.005708,-0.004013,0.010201,-0.000453
32,enables,0.012039,-0.005550,0.001293,0.007429,-0.005325,-0.008571,-0.006079,0.010506,-0.011683,-0.008607,0.007463,0.007240,-0.010066,-0.003180,-0.015606,-0.009061
33,error,-0.006313,-0.015663,-0.008882,-0.004191,-0.007395,0.002687,0.004552,-0.004463,-0.013134,-0.001619,-0.008846,-0.010383,-0.015472,-0.004807,0.022710,-0.015205
34,estimates,0.012730,-0.003368,0.002937,0.019776,-0.009491,0.004153,-0.000843,0.000540,-0.004240,-0.020659,-0.003780,-0.005144,0.024963,-0.001772,-0.031518,0.001126
35,ethics,-0.012306,0.004482,-0.023882,-0.009941,0.020226,-0.004366,-0.004411,-0.001415,-0.003419,-0.002879,-0.002592,0.010549,0.024759,0.001463,0.000348,-0.023862
36,evaluation,-0.011018,-0.003808,0.002364,0.002113,-0.005218,0.000702,-0.011163,0.011446,-0.011044,0.010464,0.004993,0.004031,-0.010841,-0.002771,0.005324,-0.000846
37,examination,0.001143,0.000591,0.007268,0.006009,0.007250,-0.001699,0.009056,0.009790,0.006528,0.014310,0.001978,-0.004714,0.002046,0.002117,-0.024399,-0.010565
38,explains,0.006920,-0.019789,-0.009499,0.003129,-0.011233,-0.004464,0.004139,0.015421,0.007897,-0.020817,0.000310,0.019309,-0.004246,0.005643,-0.008404,0.025581
39,groups,-0.001641,-0.014938,-0.003282,0.000977,-0.012000,-0.023825,0.008881,-0.005271,-0.011339,-0.030450,0.009358,0.009197,-0.015035,0.002358,0.000300,-0.006151
40,guarantee,-0.008213,-0.000144,-0.007749,-0.002642,0.008095,-0.008771,-0.026068,-0.000696,0.001532,0.013987,-0.012970,-0.006371,0.006313,-0.003268,-0.014651,-0.003738
41,guide,0.005827,0.001455,-0.025800,0.004357,0.003943,0.010507,0.003873,-0.009826,-0.003758,0.002067,-0.003112,0.002782,0.001576,-0.007444,0.001314,-0.004572
