row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,0.005834,0.006314,0.008650,-0.003623,0.004018,0.005065,0.002528,-0.019264,0.002931,-0.018846,0.007913,0.003190,0.008631,-0.001019,-0.028448,0.004526
1,-0.013164,-0.010347,-0.009114,-0.005041,0.005806,0.011773,0.004490,0.002686,-0.001103,-0.008157,0.015173,-0.002620,0.017085,0.005018,0.003735,0.000917
2,-0.009354,0.007371,-0.017186,-0.005124,0.009513,0.005994,0.005161,0.017532,0.002611,0.021806,-0.006003,0.005991,0.006476,-0.006323,-0.017921,0.003767
3,-0.013074,-0.010281,-0.005004,0.000893,-0.007765,-0.017747,-0.005527,-0.008353,-0.006163,-0.002218,0.010656,0.000929,0.006968,0.011891,-0.013587,0.005772
4,0.000308,0.002660,0.002675,-0.020950,-0.011820,-0.003963,0.010623,-0.014758,-0.012278,-0.018538,0.002805,-0.001644,-0.019757,0.002749,-0.005540,-0.006322
5,0.011151,0.013145,0.007452,-0.000849,-0.010999,0.007351,-0.013903,0.000735,0.002580,-0.004120,-0.010890,0.003668,0.012876,0.015944,-0.012123,-0.015579
6,-0.006863,0.012180,-0.013079,0.002872,-0.017920,0.000277,0.002615,0.009469,-0.011547,-0.006718,-0.005846,-0.001491,0.001737,0.014423,-0.002120,-0.013590
7,0.010074,0.000280,0.005831,0.003548,0.014751,-0.005247,-0.008055,0.000335,-0.003527,-0.012376,0.010379,0.005630,0.013203,-0.003157,-0.002084,0.017952
8,0.003434,0.000053,0.006389,0.001851,0.017485,0.008985,0.012640,0.001332,0.004056,0.000135,0.008567,-0.007430,-0.000524,0.010051,-0.000223,0.000262
9,0.002725,0.006322,-0.007623,-0.008779,0.002169,0.003179,0.002950,-0.014218,-0.010384,-0.016202,-0.009462,-0.006791,-0.005864,-0.004053,0.013347,0.012339
10,0.001302,0.002136,0.004792,0.004181,0.010409,0.010868,0.001179,-0.001787,-0.005940,-0.026712,0.006432,0.012164,0.008573,-0.000433,0.008263,-0.000792
11,-0.005462,0.004026,-0.005140,0.016471,-0.000361,0.020550,0.010343,-0.003510,-0.006388,-0.005118,-0.011197,-0.001229,0.000647,-0.007658,-0.004982,0.000770
12,0.009029,-0.002134,-0.003130,-0.012637,0.001318,0.004279,-0.007415,0.000528,0.000096,-0.005879,0.017406,-0.002457,-0.009483,0.001626,0.006292,0.005433
13,0.020418,-0.002556,-0.011020,-0.007324,0.000799,0.020854,0.017338,-0.017353,-0.003576,-0.011754,0.010584,0.003120,0.012083,-0.004258,0.003387,0.000227
14,0.001482,0.012044,0.011323,0.003610,0.009934,-0.003360,0.009734,0.002768,-0.019367,0.003618,-0.001463,-0.018403,-0.008833,0.004671,-0.006004,0.005698
15,0.014197,0.001959,-0.005533,-0.014323,-0.003317,0.000267,-0.000136,-0.005104,-0.014133,0.026374,0.002384,0.005476,-0.010241,-0.010685,0.020054,0.004527
