row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,-0.004256,0.005340,-0.007074,0.019418,0.007552,0.001015,0.002472,-0.007389,-0.004410,0.003840,0.003102,-0.004992,0.000436,0.018902,0.001022,-0.007627
1,0.000809,0.020128,0.004668,-0.012357,-0.002109,0.012679,-0.005329,-0.003583,-0.004662,-0.014848,0.010702,0.006486,0.010653,-0.002104,0.008091,0.007220
2,-0.001660,-0.007455,0.003563,0.006477,-0.012553,0.000240,-0.015575,0.012652,-0.002127,0.012696,0.011993,-0.008510,-0.005008,-0.013264,0.000148,-0.003884
3,0.007051,-0.012222,-0.020236,-0.006754,-0.000317,-0.008620,0.007737,-0.007641,-0.005400,-0.017406,0.006680,-0.010180,0.001288,-0.001682,0.007892,0.006365
4,0.003231,-0.008785,0.003074,-0.003349,0.000869,0.004915,0.005270,0.007326,0.011202,0.003319,-0.009438,-0.008638,0.003573,-0.008991,0.002291,0.006482
5,0.007173,0.019861,0.008318,-0.002058,-0.006455,0.004383,0.007751,0.006658,-0.008585,0.006527,0.002925,-0.011831,0.002639,-0.006852,0.000309,-0.002604
6,-0.007445,-0.005394,0.014489,-0.001866,-0.005088,0.009684,0.003051,0.015034,-0.008280,0.000956,-0.004691,-0.020443,0.014497,0.001104,0.002435,-0.004526
7,-0.011777,-0.006454,-0.000806,-0.016936,0.003399,-0.010049,-0.000753,0.012289,0.006786,0.000635,0.000657,-0.007071,-0.000075,-0.030283,0.016751,-0.006307
8,0.019823,0.000927,-0.007950,0.012737,0.008355,-0.003379,0.014204,0.009205,0.001072,-0.004492,-0.005493,0.002917,0.011467,0.000830,-0.004462,0.006148
9,0.008387,0.002641,0.001821,-0.011978,-0.017745,-0.011766,-0.010234,-0.004344,-0.001012,-0.009395,-0.011531,-0.001358,-0.005975,-0.010911,0.011947,-0.006985
10,-0.004258,0.020816,-0.006170,0.005092,0.012736,-0.004438,-0.010985,0.002327,0.004147,0.003375,0.011494,-0.000893,0.008985,0.019050,0.005869,-0.012008
11,-0.000342,0.009464,-0.000351,0.010861,0.014076,-0.017222,0.010042,-0.019729,-0.004207,-0.004947,0.004219,-0.000717,-0.006372,-0.012826,0.016174,0.003974
12,-0.023600,0.001695,-0.005211,-0.011723,-0.011891,-0.024626,0.007501,0.002013,-0.013919,-0.016131,0.009480,0.003264,-0.002904,-0.017473,0.016998,0.001909
13,0.003183,-0.005405,-0.011222,-0.006289,0.015261,0.001645,-0.007948,0.006991,-0.010294,0.005024,-0.006766,0.017622,-0.017327,-0.003781,0.026220,-0.001686
14,0.000670,-0.007504,-0.003961,-0.000284,0.008452,0.008589,-0.012316,-0.008792,-0.006632,0.000716,-0.003604,-0.010629,-0.004757,0.021285,0.000225,0.010652
15,0.013005,0.001669,0.000468,0.004529,-0.012343,0.006992,0.004034,-0.005122,0.010231,-0.001473,0.007613,-0.016949,-0.006599,0.009473,0.007802,0.006340
