row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,0.000512,0.003005,0.001187,-0.006846,-0.022802,0.000529,0.014493,0.006946,0.002672,0.001552,-0.006258,0.005315,0.004843,-0.007579,-0.024995,0.000033
1,-0.001117,0.017021,0.011486,0.007082,0.002635,0.006351,0.014056,-0.001558,0.003816,0.007098,-0.001525,-0.001990,0.006337,-0.000985,-0.000562,0.004322
2,0.001473,-0.012958,0.011474,-0.009578,-0.006583,-0.001809,0.018110,-0.001056,0.008174,0.008655,-0.005126,-0.004979,-0.006691,-0.006386,-0.014966,-0.010541
3,0.005259,-0.002393,-0.010473,-0.011599,0.009097,0.004311,-0.009573,0.002385,0.000940,0.014627,0.002163,-0.011201,0.007259,-0.006564,-0.008711,0.001396
4,-0.012762,-0.012290,0.001984,-0.020900,0.007782,-0.007576,-0.010101,0.006547,-0.002860,-0.001218,-0.007948,-0.001106,-0.006218,-0.001510,-0.007804,0.008064
5,-0.010173,0.023599,0.003555,0.004383,0.005637,-0.000033,0.007320,-0.019687,0.011879,-0.018194,-0.015840,0.015599,0.005666,-0.008343,0.003001,-0.019720
6,0.018599,0.010870,0.001828,-0.025544,-0.014590,-0.021779,-0.018030,-0.003477,0.000099,-0.006584,0.012578,0.015802,-0.004177,0.002829,-0.000224,0.021309
7,0.007487,0.000907,-0.007077,0.000351,-0.000527,0.017324,0.007390,0.000226,0.000937,-0.016700,0.003830,-0.003200,-0.010970,-0.004622,0.008515,-0.021470
8,-0.001387,-0.012703,0.001528,-0.010427,-0.005373,0.000548,0.012375,-0.003672,0.001387,-0.006635,-0.005383,0.016038,0.014192,-0.001299,0.008066,-0.008858
9,0.003448,-0.017236,0.016899,-0.015081,-0.019800,0.003765,-0.019560,0.003821,0.008428,0.010131,-0.002777,-0.004138,0.020059,0.002947,0.014923,-0.007757
10,0.024060,-0.008561,-0.021579,-0.019243,-0.021035,-0.006608,-0.006792,-0.007043,0.001335,-0.002546,0.005615,0.012750,0.001815,0.007391,-0.010281,0.007960
11,0.002047,0.003840,0.004526,-0.013997,-0.001674,-0.000207,0.009513,0.018011,0.010348,0.013603,0.005875,0.002251,-0.001223,-0.001991,0.000066,-0.012476
12,0.013853,-0.001183,-0.009762,-0.006533,-0.000139,0.016715,-0.010203,0.000650,0.010100,-0.010077,0.009480,0.007774,0.010113,-0.021493,0.009740,0.000209
13,-0.001064,0.014771,0.015836,0.008481,-0.017127,-0.024605,0.004895,0.017876,-0.007840,-0.004956,-0.009243,-0.008080,0.000869,0.014410,0.037002,0.005949
14,0.000035,-0.015647,-0.024456,-0.008445,-0.005579,-0.016437,-0.004210,0.008607,-0.001048,0.008029,0.005912,-0.019026,0.009927,-0.014163,0.005532,-0.006884
15,-0.015690,0.012609,0.009635,-0.002282,0.002635,-0.008876,0.018268,0.000873,0.002435,0.006554,-0.002336,-0.019535,-0.013951,-0.007028,0.009137,0.002174
