epoch,avg_loss,accuracy
1,4.69500145,0.141593
2,4.64003328,0.150442
3,4.58828185,0.150442
4,4.54039719,0.150442
5,4.49701334,0.150442
6,4.45864851,0.150442
7,4.42559371,0.150442
8,4.39782820,0.150442
9,4.37500140,0.150442
10,4.35649636,0.150442
11,4.34155141,0.150442
12,4.32939219,0.150442
13,4.31933091,0.150442
14,4.31081552,0.150442
15,4.30343553,0.150442
16,4.29690226,0.150442
17,4.29101999,0.150442
18,4.28565832,0.150442
19,4.28073017,0.150442
20,4.27617598,0.150442
21,4.27195322,0.150442
22,4.26802974,0.150442
23,4.26437968,0.150442
24,4.26098113,0.150442
25,4.25781474,0.150442
26,4.25486293,0.150442
27,4.25210951,0.150442
28,4.24953943,0.150442
29,4.24713869,0.150442
30,4.24489422,0.150442
31,4.24279390,0.150442
32,4.24082649,0.150442
33,4.23898159,0.150442
34,4.23724964,0.150442
35,4.23562184,0.150442
36,4.23409013,0.150442
37,4.23264714,0.150442
38,4.23128614,0.150442
39,4.23000099,0.150442
40,4.22878611,0.150442
41,4.22763641,0.150442
42,4.22654727,0.150442
43,4.22551448,0.150442
44,4.22453420,0.150442
45,4.22360294,0.150442
46,4.22271753,0.150442
47,4.22187504,0.150442
48,4.22107284,0.150442
49,4.22030848,0.150442
50,4.21957973,0.150442
51,4.21888454,0.150442
52,4.21822102,0.150442
53,4.21758742,0.150442
54,4.21698213,0.150442
55,4.21640366,0.150442
56,4.21585060,0.150442
57,4.21532168,0.150442
58,4.21481567,0.150442
59,4.21433146,0.150442
60,4.21386798,0.150442
61,4.21342423,0.150442
62,4.21299929,0.150442
63,4.21259229,0.150442
64,4.21220238,0.150442
65,4.21182878,0.150442
66,4.21147077,0.150442
67,4.21112763,0.150442
68,4.21079871,0.150442
69,4.21048336,0.150442
70,4.21018101,0.150442
71,4.20989107,0.150442
72,4.20961300,0.150442
73,4.20934630,0.150442
74,4.20909047,0.150442
75,4.20884505,0.150442
76,4.20860959,0.150442
77,4.20838366,0.150442
78,4.20816687,0.150442
79,4.20795882,0.150442
80,4.20775914,0.150442
81,4.20756749,0.150442
82,4.20738353,0.150442
83,4.20720693,0.150442
84,4.20703738,0.150442
85,4.20687460,0.150442
86,4.20671831,0.150442
87,4.20656822,0.150442
88,4.20642409,0.150442
89,4.20628567,0.150442
90,4.20615273,0.150442
91,4.20602504,0.150442
92,4.20590238,0.150442
93,4.20578454,0.150442
94,4.20567134,0.150442
95,4.20556258,0.150442
96,4.20545807,0.150442
97,4.20535766,0.150442
98,4.20526116,0.150442
99,4.20516843,0.150442
100,4.20507930,0.150442
